,topic,政治,健康
10,台南新增敦睦遠訓病例是30餘歲男性，住歸仁區。於4/14下軍艦後，從左營搭計程車回到歸仁的居所，同日內沒有再出門，晚上開始有一些倦怠感。4/15未出門，餐點由家人準備。4/16 下午，跟一位友人到台南新光三越新天地吃飯逛街，個案 約下午 4 點至新光三越新天地，從 B1 搭電梯至 6樓翰林茶館購買飲料後，直接至麥當勞點餐後進入公共客席區用餐，6點離開麥當勞，搭 A 區手扶梯至 5 樓逛一圈並未入櫃購物後，搭手扶梯從西門路大門口離開。全程有戴口罩。交通工具是自行開車，回家後沒有出門。4/17在家中未出門，4/18上午9點接獲通知，中午至台南公園指定地點集合，直到晚間6點才搭上巴士前往檢疫所。,0,1
11,"大家好：
 有關敦睦艦隊武漢肺炎疫情，指揮中心調查確診個案下船後足跡，針對停留15分鐘以上地點發出簡訊，全台約有20萬人會收到，簡訊內容如下：
 
 [疫情警示]您曾和武漢肺炎確診個案同時位於同一地點，請注意自身健康狀況，保持社交距離，出外戴口罩並勤洗手，身體不適請立即就醫。有問題請打1922疫情指揮中心。
 
 提醒收到簡訊的民眾請做好自主健康管理，佩戴口罩並避免出入公共場所，與旁人維持室內1.5公尺、室外1公尺的安全社交距離。若近期出現疑似症狀，請通報1922將由衛生單位人員協助轉介。",0,1
12,"轉傳：
 16000-1600=14400,領1600還要再掏腰包花14400,這樣划算嗎？🕵️💰
 
 今天去家樂福，領了一叠振興券，真的沒啥用。50元的要買滿500才可折抵，以此類推200元的要消費滿2000才可用，真是夠了爛透了，這是我同學去家樂福的情况...😤😖
 
 這是甚麼狗屁 ""振興卷""，賣場周年慶 歲末大放送 都比這個更
 優惠，
 政府根本一毛不用花，只要丟給場家做9折活動就好，還可以向場家討好處拿中間費，真是一石二鳥 羊毛出在羊身上...🐦🐦🤔
 
 又想騙錢了，把人民百姓當傻子....真是不要臉到極點了...😠😠😠",1,0
13,駱書記隆重宣布：落實「一國一制」，香港市正式成立！,1,0
14,"軍艦官兵高雄確診增為9人 疫調足跡再公布14處
 Yahoo奇摩（即時新聞） · 6,037人追蹤
 1 小時前
 敦睦艦隊士官確診新冠肺炎(武漢肺炎)，高雄市衛生局今天再公布14處足跡，要求業者自下午2時起到晚上12時進行消毒。
 衛生局長林立人在衛生局說明有關艦隊高雄感染新冠肺炎（2019冠狀病毒疾病，COVID-19）人數從8名增為9人是因為原來用居住地去做分布各縣市的研判，後來因為中央經居住地整理歸戶，高雄市成為9例。
 他同時再公布敦睦艦隊群聚疫情確診病例在高雄市的重要活動足跡，新增14處；有些訊息是外縣市疫調分享。
 新增的14處士兵活動地點如下：
 （1）中正一路120號5樓之7教室（苓雅區）-4/16 18:00-20:00
 （2）緣髮百元精緻快速剪（林園區）-4/17 15:00-16:00
 （3）麗馨商旅七賢館（前金區）-4/15 住宿一晚
 （4）天天汕頭火鍋（鹽埕區）-4/15 19:00-20:30
 （5）玫瑰汽車旅館（左營區）-4/16 18:30-21:00
 （6）赤鬼牛排（左營區）-4/17 11:30-13:30
 （7）韓咪達韓式料理店（三民區）-4/17 12:00-13:30
 （8）卡布Cappu 義式料理（楠梓區）-4/16 18:30-19:30
 （9）Mr.帕（鼓山區）-4/17 19:30-21:00
 （10）吳媽媽餃子館家常菜（左營區）-4/14 18:30-19:00
 （11）澤野燒肉屋（左營區）-4/15 18:00-20:30
 （12）新光三越高雄左營店（左營區）-4/15 15:00-19:00
 （13）素香庭（三民區）-4/17 19:00-21:00
 （14）老四川巴蜀麻辣燙（鼓山區）-4/17 18:30-20:00
 林立人說，將要求14家業者，下午2時開始到今天晚上12時停止營業做清潔消毒",0,1
15,"消息大了：
 Obama政府轉移實驗至武漢，2015就開始付錢支助了😱，川普被問的倉皇失措不知如何回答...
 https://m.youtube.com/watch?v=BpwndRgw-k⋯upmessage&feature=share&isappinstalled=0BOOM! Fauci Sweating Bullets! Trump Investigating His $3.7 Million Obama Era Grant to Wuhan Lab!!!https://m.youtube.com/watch?v=BpwndRgw-kI&from=groupmessage&feature=share&isappinstalled=0Full Dr. Buttar interview: https://youtu.be/WGbYHJcMbz8
 
 Sub to Gary's NEW Podcast on YouTube here:
 https://nnn.is/subscribe-to-G-Cast
 
 Sub to Gary's original YouTube Channel here:
 https://www.youtube",1,0
16,"轉載李豔秋新聞夜總會臉書的訊息！
 
 不是超前部署，是沒有部署。
 敦睦艦隊群聚感染擴大，目前700多人已有24人確診，指揮中心根據案例的接觸對象，將發出2000—3000封警訊。
 尤其嚴重的是，敦睦艦隊靠岸後，全艦官兵就地解散，各自回到社區，從北到南到澎湖都有他們的足跡；不可思議的是，全台老百姓戒慎恐懼謹守防線，破口的竟然是保家衛民的軍隊。
 海軍及國防部責無旁貸，不能有任何隱匿，誠實回答幾個關鍵問題:
 1.防疫如同作戰，軍隊對於防疫的教育做了什麼?
 前三個確診案例，除了一人向醫官反映，其餘兩例都有症狀但未告知醫官，證明官兵根本欠缺對病毒的常識，對異常症狀也毫無警覺性
 2.艦隊在出發前，長官們對目的地的疫情充分掌握了嗎?
 據疫情指揮中心的說明，艦隊在回程時，才與指揮中心聯絡，詢問船舶靠岸有甚麼規定，這證明艦隊出航前，根本沒有連絡疫情中心蒐集足夠資料，就貿然出發
 3.4/15官兵下船前，海軍對700多人做了哪些健康管理?有沒有虛應故事?
 4.在外國幾乎都封閉陸空交通的時期，誰決定敦睦艦隊要出航?為什麼?
 5.敦睦艦隊真的只去了帛琉嗎?有沒有秘密任務未公布?
 6.軍中生活如此緊密，每人每天卻分不到一個口罩，國防部連這件事都不敢反應嗎?三軍統帥把口罩到處送人做外交，自己的子弟兵卻暴露在高風險的感染環境裡，這是哪門子的邏輯呢?
 敦睦艦隊群聚感染會引發甚麼後果?不知道。該負責的，不必以【目前防疫為重，責任日後追究】來塘塞，這過程中誰決策不當、管理不善、教育宣導擺爛，就趕快負起責任來，否則誰相信我們的軍隊有戰爭應變的能力?至於這個爛攤子，全台老百姓都要幫忙收，在這關鍵時刻大家皮繃緊一點，為自己也為這些艦上的孩子，他們都是我們親愛的家人啊!",0,1
17,"政府 的 現金 補助，你 領 得 到 嗎 ？
 
 1，如果你保的是國保，答案：沒份。
 
 2，如果你保的是農保，答案：你也沒份。
 
 3，如果你除了健保以外什麼保都沒有，答案：更沒份。
 
 4，如果你是受僱者，保勞保，答案：沒份。（除非放無薪假、被解僱、或公司証明衰退嚴重、且僱主要通報、申請，才有部份補助）
 
 5，保職業公會、或自營商保勞保者，答案：有。（但需投保24000以下、且年所得40萬以下、要提出申請）
 
 6，如果你是弱勢家庭者，答案：有，（4500元/戶，ㄧ次）
 
 7，保勞保，原來就失業者，答案：沒份。
 
 8，以上7種人以外的人，答案：沒份。
 
 你到底領得到嗎？
 
 （轉貼的）",1,0
18,"白宮邀請台灣連署加入聯合國，請大家加把勁，完成後請分享給其他朋友，謝謝
 https://petitions.whitehouse.gov/petition/invite-taiwan-join-united-nations
 Invite Taiwan to join the United Nationshttps://petitions.whitehouse.gov/petition/invite-taiwan-join-united-nationsWe the people ask the federal government to Call on Congress to act on an issue:
 
 
 
 Created by R.C. on April 05, 2020",1,0
19,"一位護士在摘掉口罩和眼鏡罩後，在紫外線下顯出臉上仍有殘留的病毒。
 這就是為什麼外出回家後，一定要馬上緊閉眼睛洗臉。",0,1
20,"金正恩傳手術後命危 美國密切監測情報
 https://money.udn.com/money/story/5599/4507141CNN：金正恩傳手術後命危 美國密切監測情報 | 國際焦點 | 國際 | 經濟日報https://money.udn.com/money/story/5599/4507141金正恩11日出席北韓勞動黨政治局委員會會議。 （美聯社）facebook
 美國有線電視新聞網（CNN）報導，美國正在監測北韓領導人金正恩手術後命危的情報。
 金正恩最近錯過了他的祖父金日成誕辰4月15日的慶祝活動，引發外界揣測他的健康狀態。他在四天前的一場政府會議中曾經現身。",1,0
21,"台南的粉絲要注意了
 艦隊確診個案，新增足跡：
 
 ４月１５日19:00-19:30
 📍 劉家汕頭麵
 
 ４月１５日19:30-20:10
 📍 家鄉八寶冰
 
 ４月１６日16:20-18:30
 📍 永華國民運動中心
 
 ４月１７日14:30-19:00
 📍 成功大學光復籃球場
 
 「官方」即時足跡地圖查詢
 https://bit.ly/2yzzTL6
 
 。
 109.04.17(五)18:30-22:30
 地點：東區崇學路某大樓
 聚會人數：80人
 主述：活動全程都有戴口罩，因活動之後其中一名女性確診(海軍確診之一的女朋友)，所以收到衛生局通知須隔離14日。
 
 109.04.18(六)足跡
 1.健康路【吐司吐司】早餐店
 2.家樂福安平店
 3.小西門
 
 109.04.19(日)足跡
 1.健康路【可香巢】早餐店
 2.國華街JJ新天地複合式包包銀飾咖啡
 3.大同路王子小火鍋
 
 109.04.20(一)足跡
 1.【A區】上班
 2.崇學路陳煌奇耳鼻喉科診所(參加活動前就有咳嗽)
 3.東區自由路全聯敦睦艦隊COVID-19(武漢肺炎)確診個案活動足跡 - Google 我的地圖https://bit.ly/2yzzTL6Open full screen to view more敦睦艦隊COVID-19(武漢肺炎)確診個案活動足跡中央流行疫情指揮中心提醒，民眾若於下列時段、地點活動，自活動最後一天起算14天內，落實自主健康管理，如有不適症狀，請撥打1922。疾病管制署 https://www.cdc.gov.tw中央流行疫情指揮中心提醒，民眾若於下列時段、地點活動，自活動最後一天起算14天內，落實自主健康管理，如有",0,1
22,"1️⃣4/20明天市場開始強制戴口罩，
 不論是客人還是賣家，
 抓到一律罰款 一萬五千元整.
 2️⃣-請注意哦❗
 政府公告了，進郵局沒戴口罩，
 直接罰鍰15000元，4/20開始實施",0,1
23,"(!)指揮中心快訊：4/20敦睦遠訓支隊狀況更新(!)
 
 針對敦睦遠訓支隊24例確診個案，衛生單位目前已掌握接觸者共255人，其中177人為居家隔離對象，78人為自主健康管理對象，將陸續安排採檢。
 
 由於部分個案下船後曾至國內約90多處公共場所活動，提醒民眾若曾於所列時段及地點活動，應自主健康管理，外出時請佩戴口罩，若有不適，請撥打1922防疫專線，就醫時主動告知活動暴露史。
 
 (star)90多處公共場所： https://bit.ly/2xyUgs3敦睦艦隊COVID-19(武漢肺炎)確診個案活動足跡 - Google My Mapshttps://bit.ly/2xyUgs3Open full screen to view more敦睦艦隊COVID-19(武漢肺炎)確診個案活動足跡中央流行疫情指揮中心提醒，民眾若於下列時段、地點活動，自活動最後一天起算14天內，落實自主健康管理，如有不適症狀，請撥打1922。疾病管制署 https://www.cdc.gov.tw中央流行疫情指揮中心提醒，民眾若於下列時段、地點活動，自活動最後一天起算14天內，落實自主健康管理，如有",0,1
24,轉傳：基隆的朋友今天不要到東和大樓，海軍確診者住在那裡，所以今天要消毒，這幾天也避開那裡，以策安全,0,1
25,"【王品牛排特搜，尋人啟事令】
 協尋! 你認識她嗎?
 性別：女
 長相：和你很像
 興趣：關注你的一切大小事
 個性：一樣的事喜歡叮嚀很多遍、細心、超有耐心
 專長：家裡任何事都難不倒她
 特徵：名字裡面有「秀」「霞」「淑」「美」任一個字
 
 你知道這個人是誰嗎？
 太好了👏替你高聲歡呼，我們找的就是她！
 王品獻出龍蝦懸賞，只款待心中最重要的人！
 趕緊帶著她一起來王品享用大餐、大啖龍蝦慶祝母親節🦞
 
 即日起至5/31
 來店出示有「秀」「霞」「淑」「美」姓名的證件
 中1個字👉款待法式紅醬龍蝦 半隻
 中2個字👉款待法式紅醬龍蝦 一隻",0,0
26,"第三波疫情，已經在路上 !😮😮
 
 《自然若開殺戒，煉獄就是人間 ! 😔😔》
 
 在武漢的新冠病毒疫情算是病毒對人類第一波進攻。
 西方大國紛紛對中國關閉國門，想著只要隔離中國就可以事不關己。
 不知道這一波到底死了多少人，但是很清楚，肯定遠少於第二波的傷亡。
 
 眼下的歐美疫情，算是病毒對人類的第二波進攻
 歐盟各國支離破碎，美國各州自顧不暇。第二波病毒的侵襲，多少人會就此離開呢？十萬人，二十萬人，一百萬人？到現在為止，我們還無從知曉。
 
 真正恐怖的第三波病毒攻勢，或許很快就要來了
 這不是看別人家熱鬧的時候，這是一場徹徹底底的人類和病毒的戰爭，
 這次的病毒，不是來自中國，或者美國，或者哪裡。
 因為但凡是人類實驗室中可控制的病毒，我們總會有那麼一絲的線索。
 但這一次，是一場劫難。 全球性的感染，一個國家都逃不了。
 這次的對手，不只是卡住了人類的肺，更是禁錮了人類的手腳。要麼病死，
 要不隔離，失業，在家等死。
 這是場席捲人類文明的疫情，這是一場足以摧毀人類文明底層經濟支柱的災難。經濟學家們悲觀的表示，世界經濟已經進入了大衰退，全球經濟需要很久才能復蘇。 股市？經濟？現在這些專家們任何悲觀的判斷，也許都還是過於樂觀。 第三波疫情的衝擊，會讓我們真的知道，什麼是人間煉獄。
 
 第三波疫情的-饑荒。
 當大家如同欣賞好萊塢大片一樣關注美國新聞的時候，還在聽專家預測美國可能要死多少人的時候，你們也許沒有注意到，病毒，已經悄然登陸印度和非洲了。大家也許不會想到這是一個極其危險的信號。
 
 以現在人類的認知，以中國抗疫的範本，當下最有效的方式，就是隔離。
 
 然而印度，僅僅是各大城市的乞丐，印度就有超過40萬。這麼龐大的乞丐大軍，印度政府如何真正隔離他們？ 印度已經封國隔離了幾天，然而現在傳出的聲音，要比想像的糟糕。因為教育水準的低下，印度有著太多的日薪族，這些人沒有任何的積蓄，一天不工作，一天就要挨餓。而印度政府所保證的隔離期間給低端人口一日兩餐，僅僅是幾天時間，已經是捉襟見肘。
 
 世界十大產糧國，中國尚不夠內需，美國亂作一團，加拿大失去了出口管道，巴西阿根廷自顧不暇，各個國家的自閉，世界糧食的供應鏈已經出現中斷的危險，接下來各國海關不再只是扣押口罩或者醫療用品，他們甚至會變本加厲扣押運糧船，解決自己國家的糧荒。
 
 印度可能是第一個真正大面積爆發國家危機的國家，饑荒就在眼前，政府無能為力。如果印度這樣十幾億人的國家出現了攜帶新冠的饑民潮，難民潮，這對南亞，東南亞，都是毀滅性的打擊，包括孟加拉，斯里蘭卡，巴基斯坦，阿富汗，印尼，菲律賓。除了市中心那幾座地標一樣的高樓第三世界有多少人住在漏雨透風的棚戶區，我們其實很清楚。這些國家一旦感染，根本做不到隔離。而這些實力有限的政府，將完全沒有能力掌控接下來可能發生的一切。
 
 至於非洲，已經不知道該如何去預測，奈及利亞流浪人口兩千四百萬，南非流浪人口七百萬，辛巴威一百二十萬，一旦疫情變異，蔓延。那麼缺糧，缺水，缺醫療的非洲大陸，將不堪一擊。
 
 至於中美洲，海地，洪都拉斯，瓜地馬拉，定時炸彈就放在那裡。這些小國的政府，除了等死，一無是處。
 
 面對食物短缺，面對饑餓，絕望，戰火，或許離我們並不遙遠。
 第三波的疫情，已經上路。人類社會的真正劫難就此開始。
 我們曾以為自己可以改變自然，然而自然早已把達摩克裡斯之劍懸在了那裡，或許，如果人類繼續作死，全球氣候持續變暖，南極冰川融化殆盡那些冰川下永久凍層的史前病毒重見天日，人類文明可能就此終結。
 
 我們需要自然，而自然，根本就不需要我們。
 病毒，就是自然對人類的降臨打擊。
 
 第三波疫情，已經在路上 上
 
 值得深思",0,1
27,"敦睦艦隊確診者高雄足跡熱點 有這7處
 https://udn.com/news/story/121072/4503552敦睦艦隊確診者高雄足跡熱點 有這7處 | 聯合新聞網：最懂你的新聞網站https://udn.com/news/story/121072/4503552udn
 要聞
 海軍艦隊爆疫情
 
 
 
 
 
 
 Your browser does not support HTML5 Audio! 😢",0,1
28,"崇學路81號4樓是安麗直銷，海軍一個女朋友在賣直銷，二個人在里面聼課，裡面67人都要居家隔離，走崇德路請要戴口罩 。
 關心你我 ，崇學里里長。",0,1
29,"https://www.eatnews.net/article-1/20200420-2遭抓包根本不是拿口罩換美國防護衣原料！ 外交部認了散播假新聞：這是筆交易 ｜ 呷新聞 Eat Newshttps://www.eatnews.net/article-1/20200420-2外交部長吳釗燮與美國在台協會台北辦事處長酈英傑。圖片來源：美國在台協會/Facebook
 
 
 
 
 
 
 
 
 
 
 
 
 
 外交部長吳釗燮於3月18日聲稱，台美簽訂共抗新冠肺炎共同聲明。當時吳釗燮表示，將用每週捐給美國10萬個口罩，換取美方為台灣保留30萬件防護衣原料。當時就被懷疑，美國在台協會（AIT）所公布的聲",1,0
30,"😲鍾南山警示：五月，疫情將全面大爆發！
 https://mp.weixin.qq.com/s/35XcVCKscFj5ELzzRs6mtw钟南山：5月，疫情将全面大爆发！https://mp.weixin.qq.com/s/35XcVCKscFj5ELzzRs6mtw1、全球疫情，中国以外已经超过230万了，我们的数据模型做到了基本精准，最近几天偏差却越来越大，这不是模型错了，而是各个国家的疾病检测能力达到了瓶颈，尤其是印度和非洲等落后国家，漏检和排队的人越来越多，恐怕就快暴乱了；2、美国疫情，确诊人数已经超过76万了，死亡率也在随着疫情的加重而进一步攀升，因为在4月2日就已经超过了美国医疗瓶颈，今后的死亡率只能会越来越高、越来越接近意大利。美国患病比率最高的",0,1
31,"嚇人！巴黎非飲用水驗出微量武肺病毒 緊急停用 #LINETODAY
 
 https://today.line.me/TW/article/6lWPJX?utm_source=lineshare嚇人！巴黎非飲用水驗出微量武肺病毒 緊急停用 | 新頭殼 | LINE TODAYhttps://today.line.me/TW/article/6lWPJX?utm_source=lineshareCP name
 
 新頭殼
 
 Reporter
 
 新頭殼newtalk |洪翠蓮 綜合報導
 
 Upload Date & Time
 發布時間 2020年4月20日09:37
 Update Date & Time
 更新時",0,1
32,"案379酒店女公關
 相關接觸者共計123人
 經檢驗已於昨日確定
 全數陰性
 
 證明一件事：
 #群聚喝酒的沒事
 #喝咖啡的有事
 #酒精還真能殺菌🤣
 沒事喝喝酒、有事多喝酒😊
 跟酒店女公關喝2小時酒的23人都是二採陰。
 跟高官兒子喝咖啡半小時，
 不僅確診，回家還傳給5歲小兒子...
 這證明了，
 酒精真的可以消毒的。
 為了自己健康，可考慮繼續喝酒囉~ 切記少量喝酒可助健康 大量喝酒敗壞身體大腦活性！",0,1
33,"這影片是新冠状病患進行按裝呼吸器， 極度痛苦啊！奉勸各位親朋好友不要輕敵不要小看這病毒。
 最近一個月別到處趴趴走，外出要戴口罩。祝大家都平安 。",0,1
34,"(上)COVID 腳趾
 
 美國兒童皮膚科醫師的呼籲
 
 “ COVID腳趾”（如圖）
 可能是無症狀兒童患者的新冠病毒感染的跡象
 
 艾米·帕勒博士
 是芝加哥安·羅伯特·H·盧裡兒童醫院的兒科皮膚科醫生
 
 她已經看到
 大量青少年新冠病毒患者的腳趾上有病變或疼痛的腫塊
 
 這種類似水痘或麻疹的病變
 病變可能在一隻腳趾上
 也可能全部在腳趾上
 並可能出現在腳的頂部或底部
 病變為鮮紅色
 但可演變為紫色
 
 有時會發癢
 有時會很痛苦
 這些人通常沒有任何其他新冠病毒感染跡象
 
 第一線的醫師要注意喔️!
 
 COVID腳趾，
 這種類似水痘或麻疹的病變
 可能是新冠病毒感染的一種新的特殊症狀
 
 可怕😱
 https://www.facebook.com/groups/352563325104779/permalink/1087794608248310/Security checkhttps://www.facebook.com/groups/352563325104779/permalink/1087794608248310/To personalise content, tailor and measure ads and provide a safer experience, we use cookies. By tapping on the site, you agree to our use of cookies on and off Facebook. Learn more, including about",0,1
35,"緊急通知：
 剛剛接獲本市衛生局疾管處專員來電，表示有本市教師會轉傳1份磐石軍艦人員走過的10個行政區景點訊息，此為假消息，呼籲不要再轉傳了，衛生局已啟動偵查，可能會開罰。
 請大家如果有看到此訊息，希望不要再轉傳了，謝謝妳",0,1
